TIPO DE EDUCACIÓN / ZONA,Total,Hombres,Mujeres
Total,71586,36237,35325
Circulos infantiles,4984,2574,2410
Preescolar,169,71,98
Preescolar (6),4653,2491,2372
Urbana,3940,2028,1912
Rural,923,463,460
Primaria,31085,15957,15126
Urbana,24919,12754,12165
Rural,6166,3203,2963
Media,25572,12848,12724
Secundaria Básica,14577,7367,7210
Urbana,14417,7278,7139
Rural,160,89,71
Preuniversitario,4769,1808,2961
Urbana,4281,1628,2663
Rural,197,74,123
Ciencias Exactas,291,106,185
Técnica y Profesional,5509,3473,2036
Centros Politécnicos,4859,2958,1901
Curso de Trabajadores,409,255,154
Diurno,4450,2703,1747
Escuelas de Oficios,650,515,135
Formación de Personal Pedagógico,717,200,517
En Escuelas Pedagógicas,678,185,493
Especial,1525,1045,480
Adultos,3076,1053,2023
Enseñanza Obrero-Campesina,-,-,-
Secundaria Obrero-Campesina,-,-,-
Facultad Obrero-Campesina,2322,840,1482
Idiomas,754,213,541