TIPO DE EDUCACIÓN,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Total,7325,8377,8656,8022,7075
Circulos infantiles,651,725,775,792,720
Presecolar (a),367,416,411,396,395
Primaria,2887,3256,3345,3277,2970
Media,2925,3269,2959,2961,2457
Secundaria Básica,1249,1345,1383,1369,1177
Preuniversitario,509,546,533,523,439
Ciencias Exactas,34,33,28,43,31
Técnica y Profesional,891,1292,972,961,762
Centros Politécnicos,724,857,834,826,647
Escuelas de Oficios,167,203,138,135,115
Formación de Personal Pedagógico,65,86,71,108,89
Especial,340,381,393,390,314
Adultos,155,192,214,206,205
Otros organismos formadores,-,232,559,-,...