3,CONCEPTO,  1985/86,  1986/87,  1987/88,  1988/89,  1989/90,  1990/91,  1991/92,  1992/93,  1993/94,  1994/95,  1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  20011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,  2018/19,  2019/20,2020/21,2021/22
6,Total,13815,13361,13033,12942,12908,12850,12702,12663,12511,12254,12263,12259,12304,12236,12175,12221,12209,12619,12397,12327,12334,12355,12314,12166,11308,9964,9673,10660,10564,10510,10516,10561,10593,10607,10635,10655,10698
7,Círculos Infantiles (en Junio 30),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1086,1082,1078,1083,1084,1084,1088,1085,1083,1094
8,  Primaria,10187,9837,9617,9522,9417,9375,9346,9368,9440,9425,9420,9481,9487,9401,9360,9359,9358,9347,9029,9005,9034,9047,9022,8999,8215,7244,7053,6921,6842,6827,6837,6863,6887,6908,6921,6925,6940
9,    Urbana,2350,2315,2306,2307,2278,2272,2266,2327,2286,2258,2260,2275,2274,2269,2261,2268,2281,2330,2336,2335,2332,2337,2334,2336,2296,2213,2177,2132,2113,2097,2083,2084,2081,2080,2081,2076,2076
10,    Rural,7837,7522,7311,7215,7139,7103,7080,7041,7154,7167,7160,7206,7213,7132,7099,7091,7077,7017,6693,6670,6702,6710,6688,6663,5919,5031,4876,4789,4729,4730,4754,4779,4806,4828,4840,4849,4864
11,  Media,2275,2280,2305,2314,2339,2330,2266,2274,2099,1967,1978,1893,1943,1966,1951,1989,2015,2032,1956,1959,1951,1988,1977,1941,1946,1824,1769,1812,1781,1766,1764,1756,1744,1735,1736,1730,1735
12,    Secundaria básica,1027,1025,1028,1004,992,984,980,982,984,971,983,992,1001,1014,1003,1001,1010,1012,989,991,993,989,992,994,1006,961,988,989,997,1002,1010,1015,1010,996,994,1003,999
13,      Urbana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,864,873,881,890,893,896,886,887,889,885
14,      Rural,340,342,335,303,290,279,262,258,257,253,253,265,270,275,268,269,272,275,233,230,236,214,205,197,175,130,131,125,124,121,120,122,114,110,107,114,114
15,    Preuniversitario,245,266,292,336,369,375,345,319,303,277,261,252,251,263,274,301,313,312,306,326,356,368,371,371,414,333,292,278,283,295,299,296,302,302,299,286,287
16,      Urbana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,218,236,242,246,242,240,239,241,237,241
17,      Rural,-,213,236,271,300,307,282,259,252,242,212,208,206,216,224,233,237,235,229,246,270,251,257,254,194,63,37,30,30,38,38,39,47,47,42,33,30
18,      Ciencias exactas  ,3,16,16,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16
19,      Ciencias Pedagógicas  ,-,-,-,-,-,-,-,-,-,-,-,                 -,                 -,24,25,28,36,32,36,39,42,73,74,72,75,41,17,5,2,-,-,-,-,-,-,-,-
20,      Media general,18,18,13,12,11,15,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,      Vocacional,34,23,24,24,24,25,26,26,26,26,26,26,26,27,27,28,28,26,26,28,28,29,29,30,30,16,10,10,-,-,-,-,-,-,-,-,-
22,    Técnica y profesional (a),787,784,785,774,782,769,770,849,782,689,706,621,665,662,647,659,664,665,618,597,557,585,568,529,479,504,459,514,479,447,432,421,406,410,414,412,420
23,       Ministerio de Educación (b),438,435,441,447,446,440,496,557,542,527,509,500,498,499,497,497,501,495,489,484,468,460,449,447,442,479,403,414,401,381,374,366,356,361,365,370,375
24,       Otros organismos,349,349,344,327,336,329,274,292,240,162,197,121,167,163,150,162,163,170,129,113,89,125,119,82,37,25,56,100,78,66,58,55,50,49,49,42,45
25,    Formación de personal pedagógico,164,164,163,164,161,162,129,98,4,4,2,2,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,-,10,20,21,22,22,23,24,26,27,29,29,29
26,        Ministerio de Educación ,155,155,154,156,153,154,125,94,-,-,-,                 -,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,        Otros organismos,9,9,9,8,8,8,4,4,4,4,2,2,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,  Adultos,883,766,624,612,628,597,525,468,438,373,389,384,374,365,361,367,337,737,914,869,858,846,845,760,691,441,402,361,381,371,375,409,425,429,447,458,469
29,     Educacion Obrero Campesina,42,35,23,23,8,8,32,1,1,-,-,                 -,                 -,                 -,1,3,-,1,3,-,-,-,-,-,-,-,2,17,32,30,25,28,17,15,11,5,8
30,     Secundaria Obrero Campesina,336,207,115,108,124,89,181,43,28,12,15,10,9,5,6,10,4,4,5,3,2,2,2,3,4,-,1,3,4,4,4,7,8,10,6,8,5
31,     Facultad Obrero Campesina (c),409,434,411,394,406,411,235,333,327,292,306,306,303,303,299,298,285,228,237,193,176,181,189,191,443,402,360,302,305,296,303,299,312,311,318,320,317
32,     Idiomas,96,90,75,87,90,89,77,91,82,69,68,68,62,57,55,56,48,46,42,39,39,39,40,40,40,39,39,39,40,41,43,75,88,93,112,125,139
33,     Curso Superación Integral para Jóvenes,-,-,-,-,-,-,-,-,-,-,-,                 -,                 -,                 -,                 -,                 -,                 -,458,447,456,461,461,444,398,48,-,-,-,-,-,-,-,-,-,-,-,-
34,     Otros (d) ,-,-,-,-,-,-,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,180,178,180,163,170,128,156,-,-,-,-,-,-,-,-,-,-,-,-
35,  Escuela de Trabajadores Sociales,-,-,-,-,-,-,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-
36,  Especial,434,441,450,457,487,512,528,518,501,456,444,445,443,446,444,443,436,435,430,426,422,414,410,403,396,381,371,369,366,363,360,354,349,342,341,339,338
37,    Escuelas de Arte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,37,37,37,37,37,37,37,37,37
38,    Escuelas de  Deporte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,                 -,17,17,17,17,17,17,17,17,16,19,19,17,17,17,17,17,18,18,33,35
39,  Superior,35,35,35,35,35,35,35,34,33,33,32,56,57,58,59,63,63,64,64,64,65,56,56,59,60,58,59,58,58,51,43,41,50,50,50,50,50
40,     Ministerio de Educación Superior,14,14,14,14,14,14,14,14,14,14,13,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,20,21,22,22,22,22,22,22,22,22,22
41,     Ministerio de Educación ,12,12,12,12,12,12,12,12,11,11,11,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,8,1,-,-,-,-,-,-
42,     Ministerio de Salud Pública,4,4,4,4,4,4,4,4,4,4,4,13,13,13,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,16,16,16,16,16,16,16
43,     Otros organismos,5,5,5,5,5,5,5,4,4,4,4,14,14,14,14,16,16,17,17,17,18,9,9,12,13,8,6,6,5,4,4,3,12,12,12,12,12
44,       De ello: Centros Universitarios Municipales ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,                 -,390,774,938,3150,3150,3150,3150,169,119,123,123,122,123,123,126,121,120,124,124,124
45,  Otras,1,2,2,2,2,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
